Period Type,User,Status,Start Time,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,> Count,Active Hours,On Hours,User Hours
month,Student,Active,02/01/21,0.35,0.05,0.1,0.28,0.0,0.08,0.08,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35,15.87,6.47
month,Student,Active,01/01/21,13.32,6.03,5.55,6.1,3.67,5.55,6.07,1.6,0.95,0.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.42,119.9,187.72
month,Student,Active,12/01/20,5.07,4.17,1.57,0.87,1.57,1.87,0.75,0.37,0.42,0.63,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.95,54.85,66.38
month,Student,Active,11/01/20,11.83,10.65,6.45,3.98,7.25,8.42,5.87,5.4,8.43,8.83,7.15,4.47,0.83,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.93,150.85,551.88
month,Student,Active,10/01/20,11.93,7.35,7.13,4.07,2.55,1.87,3.0,2.65,3.37,5.05,5.57,3.82,3.4,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62.25,113.93,369.48
month,Student,Active,09/01/20,9.13,2.9,2.03,2.7,3.98,3.78,5.08,7.72,5.58,4.85,5.08,4.12,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57.8,182.82,386.67
month,Student,Active,08/01/20,12.42,4.53,4.58,2.08,2.5,4.7,3.98,3.98,5.98,5.18,3.93,4.83,2.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61.13,187.83,382.38
month,Student,Active,07/01/20,5.13,1.48,1.65,0.22,0.62,0.97,1.77,2.68,1.55,2.65,3.62,4.05,1.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.22,93.83,209.3
month,Student,Active,06/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
month,Student,Active,05/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
month,Student,Active,04/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
month,Student,Active,03/01/20,9.78,5.0,1.85,2.05,2.02,1.63,3.4,2.98,2.97,5.13,4.95,3.53,0.8,0.57,0.53,0.0,0.0,0.0,0.0,0.0,0.0,47.2,108.5,302.3
month,Student,Active,02/01/20,18.85,6.27,4.63,3.77,2.05,2.32,4.08,3.35,3.72,6.37,7.07,4.28,4.43,3.43,0.48,0.08,0.0,0.0,0.0,0.0,0.0,75.18,177.77,480.42
month,Student,Active,01/01/20,7.08,2.57,1.77,1.52,1.5,1.57,2.45,2.25,5.0,1.97,2.0,2.97,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.72,179.1,211.98
month,Student,Active,12/01/19,2.0,1.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.93,84.78,5.87
month,Student,Active,11/01/19,3.1,3.08,4.87,2.23,2.78,2.87,1.42,2.23,1.02,0.67,3.4,2.63,1.2,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.6,140.83,193.52
month,Student,Active,10/01/19,12.52,16.85,9.87,6.05,2.1,2.58,3.57,3.48,3.03,1.98,3.88,4.48,5.12,3.97,2.27,0.0,0.0,0.0,0.0,0.0,0.0,81.75,299.13,478.55
month,Student,Active,09/01/19,16.3,7.63,4.02,1.68,0.78,1.53,0.83,0.78,1.67,2.08,1.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.38,269.58,123.13
month,Student,All,02/01/21,0.02,0.05,0.13,0.7,0.0,0.07,0.1,0.08,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.47,15.87,7.93
month,Student,All,01/01/21,10.23,11.7,10.05,5.98,5.25,3.3,8.37,2.82,1.97,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,60.42,119.9,240.07
month,Student,All,12/01/20,5.35,4.38,1.93,0.88,1.32,2.1,0.78,0.32,0.38,0.7,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.85,54.85,68.8
month,Student,All,11/01/20,13.77,12.63,9.05,4.12,4.35,11.55,8.3,7.57,6.28,10.03,9.75,5.43,1.88,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,105.13,150.85,651.98
month,Student,All,10/01/20,9.0,8.53,8.38,5.08,3.4,1.47,3.15,2.48,7.05,3.53,7.17,3.55,5.67,0.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,69.0,113.93,440.62
month,Student,All,09/01/20,15.92,3.12,2.0,2.88,4.42,2.97,8.47,7.37,6.0,5.72,4.78,5.17,1.92,0.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.13,182.82,454.3
month,Student,All,08/01/20,9.8,12.78,7.43,2.45,1.48,4.15,2.67,4.7,6.4,5.58,2.98,5.85,3.98,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,71.07,187.83,435.48
month,Student,All,07/01/20,11.32,2.92,0.97,0.47,1.75,0.78,0.83,2.75,1.35,1.62,4.22,4.25,3.53,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37.0,93.83,238.33
month,Student,All,06/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
month,Student,All,05/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
month,Student,All,04/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
month,Student,All,03/01/20,10.7,5.42,6.87,3.85,2.8,1.6,3.05,3.12,3.13,3.32,4.87,4.52,2.37,0.65,0.83,0.43,0.0,0.0,0.0,0.0,0.0,57.52,108.5,355.82
month,Student,All,02/01/20,19.42,14.77,6.93,8.15,5.87,2.35,3.38,2.67,2.9,5.28,5.07,6.82,5.33,4.1,4.35,0.2,0.0,0.0,0.0,0.0,0.0,97.58,177.77,602.45
month,Student,All,01/01/20,9.17,2.9,1.97,1.33,3.18,1.68,2.45,1.33,3.7,2.1,3.98,3.3,1.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38.3,179.1,233.35
month,Student,All,12/01/19,32.28,2.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34.77,84.78,37.25
month,Student,All,11/01/19,2.87,2.08,5.98,1.17,3.78,2.03,2.03,2.25,0.6,1.33,1.42,4.67,1.5,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.82,140.83,204.22
month,Student,All,10/01/19,18.05,18.2,10.87,8.85,1.83,1.9,3.38,4.25,2.57,2.58,3.97,4.25,5.63,4.62,2.3,0.0,0.0,0.0,0.0,0.0,0.0,93.25,299.13,516.63
month,Student,All,09/01/19,15.15,6.22,7.82,1.97,0.9,1.58,0.88,0.7,1.63,2.18,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.12,269.58,133.13
month,Teacher,Active,02/01/21,15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.6,15.87,15.6
month,Teacher,Active,01/01/21,54.85,28.0,6.28,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.28,119.9,130.3
month,Teacher,Active,12/01/20,27.88,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.18,54.85,30.48
month,Teacher,Active,11/01/20,85.17,20.3,2.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,150.85,133.37
month,Teacher,Active,10/01/20,63.6,4.2,2.47,1.82,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.15,113.93,87.0
month,Teacher,Active,09/01/20,93.62,41.18,7.52,4.22,0.95,0.98,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.73,182.82,227.92
month,Teacher,Active,08/01/20,108.05,41.05,15.45,3.32,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.27,187.83,256.77
month,Teacher,Active,07/01/20,60.33,9.93,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.87,93.83,82.0
month,Teacher,Active,06/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
month,Teacher,Active,05/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
month,Teacher,Active,04/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
month,Teacher,Active,03/01/20,36.57,38.05,5.27,0.85,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.12,108.5,133.78
month,Teacher,Active,02/01/20,93.8,29.82,11.67,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.13,177.77,191.83
month,Teacher,Active,01/01/20,90.47,37.07,8.17,4.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.65,179.1,208.9
month,Teacher,Active,12/01/19,20.12,6.35,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.6,84.78,33.22
month,Teacher,Active,11/01/19,37.33,10.02,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.93,140.83,62.12
month,Teacher,Active,10/01/19,101.17,47.5,12.4,2.68,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.78,299.13,244.27
month,Teacher,Active,09/01/19,34.72,24.05,5.83,1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.02,269.58,105.98
month,Teacher,All,02/01/21,15.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.6,15.87,15.6
month,Teacher,All,01/01/21,54.85,28.0,6.28,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,89.28,119.9,130.3
month,Teacher,All,12/01/20,27.88,1.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.18,54.85,30.48
month,Teacher,All,11/01/20,85.17,20.3,2.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108.0,150.85,133.37
month,Teacher,All,10/01/20,63.6,4.2,2.47,1.82,0.07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72.15,113.93,87.0
month,Teacher,All,09/01/20,93.62,41.18,7.52,4.22,0.95,0.98,0.27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,148.73,182.82,227.92
month,Teacher,All,08/01/20,108.05,41.05,15.45,3.32,1.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,169.27,187.83,256.77
month,Teacher,All,07/01/20,60.33,9.93,0.6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70.87,93.83,82.0
month,Teacher,All,06/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
month,Teacher,All,05/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
month,Teacher,All,04/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
month,Teacher,All,03/01/20,36.57,38.05,5.27,0.85,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.12,108.5,133.78
month,Teacher,All,02/01/20,93.8,29.82,11.67,0.85,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,136.13,177.77,191.83
month,Teacher,All,01/01/20,90.47,37.07,8.17,4.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140.65,179.1,208.9
month,Teacher,All,12/01/19,20.12,6.35,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.6,84.78,33.22
month,Teacher,All,11/01/19,37.33,10.02,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.93,140.83,62.12
month,Teacher,All,10/01/19,101.17,47.5,12.4,2.68,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,163.78,299.13,244.27
month,Teacher,All,09/01/19,34.72,24.05,5.83,1.42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,66.02,269.58,105.98
week,Student,Active,02/01/21,0.35,0.05,0.1,0.28,0.0,0.08,0.08,0.1,0.3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.35,15.87,6.47
week,Student,Active,01/25/21,5.32,2.73,1.35,3.68,2.07,4.97,3.48,0.07,0.08,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.15,56.0,99.37
week,Student,Active,01/18/21,6.4,2.05,2.23,1.9,1.6,0.58,2.58,1.53,0.87,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.93,43.23,76.28
week,Student,Active,01/11/21,1.6,1.25,1.97,0.52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.33,20.67,12.07
week,Student,Active,01/04/21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
week,Student,Active,12/28/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
week,Student,Active,12/21/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
week,Student,Active,12/14/20,3.62,0.95,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.57,13.53,5.52
week,Student,Active,12/07/20,0.88,2.38,0.62,0.55,1.2,0.53,0.32,0.03,0.12,0.62,0.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.93,19.82,36.12
week,Student,Active,11/30/20,0.87,0.83,0.95,0.32,0.37,1.33,0.43,0.33,0.3,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.75,24.53,25.05
week,Student,Active,11/23/20,4.13,6.22,1.92,1.35,3.25,2.47,1.88,0.3,0.77,2.6,1.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25.9,43.53,118.43
week,Student,Active,11/16/20,4.67,3.3,2.95,1.92,0.85,0.8,0.85,1.13,1.08,2.97,4.68,3.1,0.7,0.37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.37,35.13,194.22
week,Student,Active,11/09/20,2.03,0.23,0.35,0.22,2.63,2.63,1.63,2.08,1.6,0.5,0.28,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.22,33.6,84.2
week,Student,Active,11/02/20,0.7,0.9,1.23,0.5,0.52,2.52,1.5,1.88,4.98,2.77,1.17,1.35,0.13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.15,35.55,154.73
week,Student,Active,10/26/20,2.18,1.6,1.93,1.78,0.08,0.03,0.02,0.05,0.15,0.22,0.52,1.3,0.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.53,12.5,52.92
week,Student,Active,10/19/20,3.07,0.47,0.3,0.18,0.18,0.4,1.57,0.93,0.83,0.92,0.87,0.57,0.35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.63,19.0,64.93
week,Student,Active,10/12/20,1.47,2.98,1.73,0.63,0.87,0.68,0.38,0.55,1.07,2.73,0.8,0.23,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.32,31.13,81.6
week,Student,Active,10/05/20,3.77,1.88,1.7,1.3,1.17,0.65,1.02,0.98,0.88,0.33,2.05,0.42,1.02,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.67,41.07,101.6
week,Student,Active,09/28/20,2.02,0.5,1.55,0.6,0.37,0.37,1.05,2.02,2.25,2.43,2.03,1.3,1.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.67,36.38,135.52
week,Student,Active,09/21/20,3.97,1.72,1.37,0.98,1.12,0.7,1.65,2.33,1.77,0.7,1.6,1.45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.35,35.62,113.33
week,Student,Active,09/14/20,0.33,0.27,0.08,0.3,0.2,0.4,1.37,1.62,0.63,0.58,0.77,0.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.7,47.68,49.98
week,Student,Active,09/07/20,1.75,0.12,0.27,0.55,1.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,39.32,11.57
week,Student,Active,08/31/20,2.68,0.73,0.23,0.47,1.58,2.82,1.4,2.5,1.5,2.03,2.02,2.52,0.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.32,41.72,158.38
week,Student,Active,08/24/20,5.0,2.5,1.4,1.62,1.48,1.87,1.37,0.87,0.83,1.3,1.8,2.15,1.55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.73,45.4,142.03
week,Student,Active,08/17/20,2.93,1.75,1.63,0.23,0.52,0.63,1.75,1.52,3.28,2.6,1.9,0.95,0.12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.82,45.37,132.4
week,Student,Active,08/10/20,0.17,0.12,1.53,0.1,0.07,1.37,0.03,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.38,43.22,14.17
week,Student,Active,08/03/20,4.15,0.15,0.02,0.1,0.08,0.43,0.47,0.98,1.73,1.23,0.23,1.73,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.07,46.18,80.1
week,Student,Active,07/27/20,1.22,0.88,1.05,0.07,0.1,0.28,1.0,0.67,0.9,0.1,0.43,1.05,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,30.67,50.65
week,Student,Active,07/20/20,1.58,0.18,0.43,0.12,0.07,0.12,0.27,0.2,0.28,1.87,1.68,1.85,1.58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.23,38.05,90.73
week,Student,Active,07/13/20,2.33,0.42,0.17,0.03,0.45,0.57,0.5,1.82,0.37,0.68,1.5,1.15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.98,25.12,67.92
week,Student,Active,07/06/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
week,Student,Active,06/29/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
week,Student,Active,06/22/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
week,Student,Active,06/15/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
week,Student,Active,06/08/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
week,Student,Active,06/01/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
week,Student,Active,05/25/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
week,Student,Active,05/18/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
week,Student,Active,05/11/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
week,Student,Active,05/04/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
week,Student,Active,04/27/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
week,Student,Active,04/20/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
week,Student,Active,04/13/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
week,Student,Active,04/06/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
week,Student,Active,03/30/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
week,Student,Active,03/23/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
week,Student,Active,03/16/20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.97,0.0
week,Student,Active,03/09/20,6.35,2.55,0.72,0.62,1.05,0.05,0.18,0.47,0.92,1.03,2.02,1.0,0.33,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.3,42.5,83.97
week,Student,Active,03/02/20,3.43,2.45,1.13,1.43,0.97,1.58,3.22,2.52,2.05,4.1,2.93,2.53,0.47,0.55,0.53,0.0,0.0,0.0,0.0,0.0,0.0,29.9,61.03,218.33
week,Student,Active,02/24/20,8.1,2.95,1.4,0.58,0.5,0.2,1.02,0.68,1.08,1.3,2.1,1.27,1.55,1.08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.82,44.97,133.18
week,Student,Active,02/17/20,6.9,1.25,1.12,0.15,0.15,0.45,0.58,0.78,0.53,0.7,0.75,0.73,0.78,0.38,0.45,0.08,0.0,0.0,0.0,0.0,0.0,15.8,44.97,79.63
week,Student,Active,02/10/20,1.78,1.43,1.75,1.68,0.48,0.8,1.57,1.05,1.23,1.08,2.03,1.55,1.72,1.97,0.03,0.0,0.0,0.0,0.0,0.0,0.0,20.17,43.8,156.47
week,Student,Active,02/03/20,2.05,0.6,0.35,1.33,0.83,0.72,0.6,0.45,0.57,2.12,1.57,0.65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.83,40.17,77.2
week,Student,Active,01/27/20,0.75,0.13,0.37,0.23,0.13,0.32,0.57,0.52,0.63,1.7,1.45,2.38,0.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.57,43.35,85.95
